Id,ActP__variance_larger_than_standard_deviation,ActP__sum_values,ActP__mean_abs_change,ActP__mean_change,ActP__median,ActP__mean,ActP__length,ActP__standard_deviation,ActP__variation_coefficient,ActP__variance,ActP__skewness,ActP__kurtosis,ActP__root_mean_square,ActP__count_above_mean,ActP__count_below_mean,ActP__maximum,ActP__absolute_maximum,ActP__minimum,ActP__number_peaks__n_5,"ActP__fft_aggregated__aggtype_""centroid""","ActP__fft_aggregated__aggtype_""variance""","ActP__fft_aggregated__aggtype_""skew""","ActP__fft_aggregated__aggtype_""kurtosis""",ActP__fourier_entropy__bins_5,ActP__fourier_entropy__bins_10,Current__variance_larger_than_standard_deviation,Current__sum_values,Current__mean_abs_change,Current__mean_change,Current__median,Current__mean,Current__length,Current__standard_deviation,Current__variation_coefficient,Current__variance,Current__skewness,Current__kurtosis,Current__root_mean_square,Current__count_above_mean,Current__count_below_mean,Current__maximum,Current__absolute_maximum,Current__minimum,Current__number_peaks__n_5,"Current__fft_aggregated__aggtype_""centroid""","Current__fft_aggregated__aggtype_""variance""","Current__fft_aggregated__aggtype_""skew""","Current__fft_aggregated__aggtype_""kurtosis""",Current__fourier_entropy__bins_5,Current__fourier_entropy__bins_10,Vibration__variance_larger_than_standard_deviation,Vibration__sum_values,Vibration__mean_abs_change,Vibration__mean_change,Vibration__median,Vibration__mean,Vibration__length,Vibration__standard_deviation,Vibration__variation_coefficient,Vibration__variance,Vibration__skewness,Vibration__kurtosis,Vibration__root_mean_square,Vibration__count_above_mean,Vibration__count_below_mean,Vibration__maximum,Vibration__absolute_maximum,Vibration__minimum,Vibration__number_peaks__n_5,"Vibration__fft_aggregated__aggtype_""centroid""","Vibration__fft_aggregated__aggtype_""variance""","Vibration__fft_aggregated__aggtype_""skew""","Vibration__fft_aggregated__aggtype_""kurtosis""",Vibration__fourier_entropy__bins_5,Vibration__fourier_entropy__bins_10
2022-05-06_08.57.00_2022-05-06_09.29.00,1,616686,4.040433514,0.00041684,47,256.9525,2400,546.6918543,2.127598892,298871.9836,2.036817608,2.189846226,604.066694,340,2060,1644,1644,0,67,149.8472675,70649.41745,2.193922082,7.366005316,0.090728994,0.13600217,1,7158571749,25.6359987,0.000114375,1901,1899.671936,3768320,292.1497924,0.153789603,85351.50121,-0.003171969,5.302714127,1922.005454,1964728,1803592,2952,2952,846,153960,413268.4804,2.49929E+11,1.333585765,5.054605717,0.090728994,0.090728994,1,7064004830,603.5300544,-0.000235383,1858,1874.576689,3768320,737.8445512,0.393605957,544414.5818,0.423882133,2.819290701,2014.560087,1766188,2002132,4095,4095,0,333374,959105.2189,2.55297E+11,0.013160857,40.82044359,0.856922052,1.429629832
2022-04-04_10.17.00_2022-04-04_11.55.00,1,2559720,10.4021722,0.015268377,4,402.8517469,6354,685.3591602,1.701268929,469717.1785,1.327753228,-0.194896411,794.9884958,1398,4956,1776,1776,0,231,472.2206879,578122.2175,1.895832112,6.10590489,0.13600217,0.13600217,1,47295256397,34.48406211,3.30E-05,1902,1900.22109,24889344,337.9774489,0.177862171,114228.756,-0.002785068,3.725113233,1930.043769,12934794,11954550,3287,3287,579,995249,2769273.021,9.89153E+12,1.412905526,5.772820004,0.090728994,0.090728994,1,47016066971,692.9194153,-4.26E-06,1859,1889.003863,24889344,912.0130891,0.482801071,831767.8746,0.38299176,1.366994731,2097.64236,10237860,14651484,4095,4095,0,1690197,6135628.389,1.12407E+13,-0.026980271,35.6245163,1.453865326,2.03585254
2022-03-22_07.55.00_2022-03-22_08.37.00,1,95594,4.441245397,0,4,31.99263722,2988,150.6647962,4.709358442,22699.8808,10.16099545,103.0295004,154.0240554,1039,1949,1620,1620,0,110,283.5321041,139179.2994,1.598063911,5.560512231,0.284235268,0.33994229,1,8294781283,7.131729013,0.000158943,1901,1899.712089,4366336,77.33762929,0.040710184,5981.108904,-0.011575757,107.959878,1901.285652,2253785,2112551,2931,2931,879,196581,485963.2279,3.64448E+11,1.254576815,4.658930989,0.090728994,0.090728994,1,8115958925,154.2217865,5.95E-06,1858,1858.757302,4366336,201.9825374,0.108665363,40796.9454,0.123314705,14.1928727,1869.699349,2170945,2195391,4095,4095,0,396640,1114355.263,3.21993E+11,-0.128106912,46.60804353,0.342635607,0.957624577
2022-06-23_07.43.00_2022-06-23_09.27.00,1,3905146,5.244614315,0,1916,1356.424453,2879,877.0189188,0.646566727,769162.1839,-0.879352642,-1.224672963,1615.255237,2019,860,1995,1995,4,142,127.1801642,77876.56016,2.779724803,10.45381362,0.090728994,0.13600217,1,23930549177,42.92731464,-1.82E-06,1901,1898.738782,12603392,458.3632001,0.241404033,210096.8232,0.002677617,1.604073966,1953.280775,6589133,6014259,3214,3214,622,424508,1481831.244,2.90191E+12,1.253029415,5.104232762,0.090728994,0.090728994,1,23646730396,915.8677907,1.36E-05,1857,1876.219544,12603392,835.1692027,0.445134049,697507.5972,0.32204226,1.302018965,2053.705767,5929253,6674139,4095,4095,0,980922,3746007.392,2.79833E+12,-0.382396467,77.57683303,1.544647505,2.114957428
2021-12-20_12.55.00_2021-12-20_14.40.00,1,2131294,16.77262513,0,124,435.313317,4896,692.7842181,1.591461118,479949.9729,1.43732027,0.158140506,818.1978104,994,3902,1941,1941,0,189,377.3592207,365685.6182,1.82474827,5.776040879,0.125255702,0.170467354,0,19729084.17,0.05625112,2.02E-09,1.901,1.899035919,10389000,0.437248831,0.230247794,0.19118654,-0.001695359,1.053326584,1.948723676,5232211,5156789,3.592,3.592,0.371,321683,1194161.602,2.1118E+12,1.515531774,5.464268067,0.090728994,0.13600217,1,19753314831,3.942712286,1.93E-07,1902,1901.368258,10389000,4.975242592,0.002616664,24.75303885,-1.215618117,1717.703152,1901.374767,5785081,4603919,3152,3152,400,463226,2335214.592,3.23383E+12,0.00476868,10.08482879,1.380500126,2.011415123
2021-12-16_07.50.00_2021-12-16_10.38.00,1,4244751,10.23580222,0.000297855,86,421.3988881,10073,683.723438,1.62250888,467477.7396,1.294749753,-0.27348226,803.1530132,2265,7808,1870,1870,0,383,670.6723507,1386286.399,2.054214915,6.616742233,0.090728994,0.170467354,0,39530075.84,0.044189405,-8.65E-10,1.902,1.900119008,20804000,0.33634425,0.177012202,0.113127454,-0.009310311,3.021817292,1.929657923,10701306,10102694,3.209,3.209,0.638,751868,2846087.897,9.49155E+12,1.158348109,5.239621365,0.090728994,0.13600217,1,39566081325,9.187867102,-1.92E-07,1903,1901.849708,20804000,13.22670284,0.006954652,174.9456681,2.693938486,1859.254422,1901.895701,13406990,7397010,4095,4095,0,1193074,5409053.985,1.00325E+13,-0.21076262,27.34971678,1.535864658,2.037103178
2022-03-21_10.50.00_2022-03-21_11.52.00,1,1148976,5.255298881,0.000238152,39,273.5657143,4200,535.7493595,1.958393656,287027.3762,2.021225326,2.275002799,601.5526379,796,3404,1643,1643,0,165,288.5414099,237975.7301,2.027748172,6.594472105,0.090728994,0.170467354,1,13929924028,25.58037791,-1.36E-07,1901,1899.391432,7333888,271.6605582,0.143025052,73799.45886,-0.00847151,6.175858407,1918.720217,3782355,3551533,2963,2963,843,287904,732312.5822,8.17576E+11,1.57880779,5.794017912,0.090728994,0.090728994,1,13634580535,214.9287254,3.14E-06,1858,1859.120365,7333888,279.8512911,0.150528872,78316.74511,0.31025381,14.1393585,1880.065232,3598558,3735330,4095,4095,0,714463,1888821.591,8.0466E+11,-0.077050617,60.98633767,0.71571645,1.328958751
2022-06-01_07.13.00_2022-06-01_08.35.00,1,1928142,8.924031008,0.025839793,1615,995.9411157,1936,791.1476434,0.794371907,625914.5936,-0.436062325,-1.809009885,1271.932899,1174,762,1675,1675,1,95,110.520661,43848.58244,2.325842079,7.928429692,0.090728994,0.13600217,1,18573180460,32.34191389,-2.62E-05,1900,1899.253565,9779200,339.954081,0.17899352,115568.7772,-0.001838865,3.174896927,1929.438488,4981934,4797266,3297,3297,573,350612,1144306.728,1.71148E+12,1.255790506,5.185025962,0.090728994,0.090728994,1,18418651502,1081.849848,-4.10E-05,1857,1883.451765,9779200,925.821511,0.491555732,857145.4703,0.314530885,0.769279321,2098.69865,4509140,5270060,4095,4095,0,759025,3099606.812,1.60302E+12,-0.564024404,110.221342,1.24805518,1.87129312
2022-03-21_09.30.00_2022-03-21_10.30.00,1,1209352,6.368227507,0,40,296.4098039,4080,570.2373394,1.92381403,325170.6232,1.956672099,2.001733396,642.6736303,722,3358,1712,1712,0,162,289.4594303,227660.344,2.017860533,6.596567346,0.125255702,0.181213822,1,14241687762,26.65024857,-8.00E-07,1900,1898.948417,7499776,284.0053442,0.149559273,80659.03555,-0.005276415,5.845221462,1920.068781,3958587,3541189,2975,2975,823,298109,858039.9072,9.36184E+11,1.319353049,5.561929684,0.090728994,0.090728994,1,13940282628,216.8348608,5.33E-07,1858,1858.759865,7499776,278.1707874,0.149653967,77378.98695,0.336160651,14.30782298,1879.45929,3713895,3785881,4095,4095,0,727466,1964599.937,8.61517E+11,-0.12866204,62.18621438,0.744489429,1.320648613
2022-03-22_12.42.00_2022-03-22_13.22.00,1,52312,3.448360084,0.000348918,5,18.24625044,2867,18.46740496,1.012120547,341.0450461,0.382680854,-1.602531178,25.96094569,1240,1627,62,62,0,108,420.7190829,157473.8852,0.876379818,6.480847129,0.2734888,0.498693004,1,8257690240,6.177747296,-2.30E-06,1901,1899.234721,4347904,20.53966666,0.010814707,421.8779065,0.157963163,7.177203842,1899.345783,2219949,2127955,2097,2097,1728,208866,571523.4112,4.19354E+11,0.919447941,4.419497326,0.2734888,0.33994229,1,8079220779,155.7599615,2.58E-05,1858,1858.18748,4347904,185.9389328,0.100064678,34573.28672,0.045172712,12.17909644,1867.467269,2153058,2194846,4095,4095,0,407954,1158896.778,3.5236E+11,-0.27953109,45.5497778,0.415851437,0.988491965
2022-03-31_10.36.00_2022-03-31_11.41.00,1,285585,8.828864803,-0.081574444,46,162.8192702,1754,411.1473723,2.525176361,169042.1617,3.310015678,9.155740531,442.2129312,229,1525,1677,1677,1,91,139.6972156,46559.23776,1.800993078,5.764116501,0.090728994,0.13600217,1,15426646137,23.30035013,1.23E-07,1901,1899.27939,8122368,262.0488797,0.137972792,68669.61534,-0.008014368,7.40364406,1917.271972,4186345,3936023,2962,2962,827,344616,949058.414,1.17332E+12,1.264272041,5.245042255,0.090728994,0.090728994,1,15304118012,604.2210178,-3.35E-05,1858,1884.194118,8122368,837.0365833,0.444241161,700630.2418,0.45391564,2.349040739,2061.751129,3328067,4794301,4095,4095,0,638694,2140641.328,1.24281E+12,-0.070949933,42.64392262,1.200277248,1.820508771
2022-06-06_09.43.00_2022-06-06_10.48.00,1,89215,1.774554591,0.01713111,0,20.37337292,4379,165.3250464,8.114760729,27332.37098,9.712586467,93.14988985,166.5756444,266,4113,1692,1692,0,31,405.8598253,310272.4903,1.601667601,5.353757471,0.13600217,0.181213822,1,14988498462,28.35933273,-9.81E-05,1900,1898.962835,7892992,283.5043392,0.149294306,80374.71035,0.000481417,6.317496656,1920.008999,4165861,3727131,3088,3088,722,328699,948364.9195,1.11351E+12,1.226614091,5.346208764,0.090728994,0.090728994,1,14897524060,994.4188528,4.12E-05,1857,1887.436863,7892992,931.2036615,0.493369437,867140.2592,0.351635655,1.039473501,2104.651556,3472437,4420555,4095,4095,0,581750,2449634.881,1.03782E+12,-0.581024569,102.7808943,1.023165214,1.580538866
2022-03-31_07.24.00_2022-03-31_08.32.00,1,541028,12.30704225,2.366197183,47,760.9395218,711,815.1379547,1.071225677,664449.8852,0.183657819,-1.967890287,1115.113824,323,388,1689,1689,2,26,48.0835221,6494.562189,2.068871644,6.859659376,0.125255702,0.181213822,1,15343442963,27.70190995,-0.000127518,1901,1899.572898,8077312,292.6614231,0.154066961,85650.7086,-0.003243025,5.437605395,1921.985407,4189741,3887571,3010,3010,790,337564,936680.2626,1.1464E+12,1.275286899,5.275735565,0.090728994,0.090728994,1,15160435392,611.6366392,-1.49E-06,1858,1876.915909,8077312,763.9403352,0.407018946,583604.8357,0.436308963,2.82266938,2026.429906,3419062,4658250,4095,4095,0,658646,2190270.868,1.19891E+12,-0.155805638,49.96309628,1.377579649,1.981476431
2022-07-08_12.23.00_2022-07-08_13.29.00,1,5427,0.29954955,0.005405405,0,1.222022067,4441,4.401722408,3.601999118,19.37516015,5.608000807,53.96378798,4.568205127,496,3945,89,89,0,25,794.4075477,479483.7841,0.529948024,7.157836413,0.357079483,0.942059778,1,15457071323,9.552851262,0,1900,1898.716505,8140800,46.87390937,0.024687155,2197.16338,-0.04177757,38.13137536,1899.295009,4286625,3854175,2402,2402,1394,324160,1224796.959,1.33233E+12,0.801550857,6.343815192,0.245901454,0.325139635,1,15329971788,1063.025962,-0.000131805,1860,1883.103846,8140800,935.844747,0.496969272,875805.3906,0.258544645,0.398677331,2102.827973,3889235,4251565,4095,4095,0,652381,2309202.337,1.21383E+12,-0.29158841,59.92776598,1.541826839,2.115830687
2022-03-31_11.56.00_2022-03-31_13.00.00,1,455798,5.614189659,-0.001391143,42,105.6555401,4314,298.0363303,2.820830124,88825.65418,4.696343966,21.1458415,316.2099735,835,3479,1688,1688,1,138,344.7152499,264280.282,1.82732598,6.051009826,0.13600217,0.21561699,1,15579724482,23.0260771,1.34E-06,1901,1898.973376,8204288,258.3714073,0.136058467,66755.78411,-0.011597198,7.428674141,1916.469584,4362712,3841576,2960,2960,841,349429,933326.5236,1.17797E+12,1.306216396,5.235021618,0.090728994,0.090728994,1,15452191201,636.1447462,-9.63E-06,1858,1883.428666,8204288,835.6719034,0.443697135,698347.5302,0.442310132,2.238886028,2060.497772,3519181,4685107,4095,4095,0,654640,2161719.59,1.2643E+12,-0.077870154,42.83898539,1.189084829,1.773277507
2022-06-22_10.30.00_2022-06-22_12.16.00,1,3837167,2.213773944,0.003801725,4,560.9893275,6840,867.2976868,1.546014593,752205.2775,0.910903737,-1.169905124,1032.915438,2003,4837,1950,1950,0,152,361.1648657,526876.9368,2.457747427,8.53115319,0.090728994,0.170467354,1,25400874106,40.0808122,1.50E-07,1900,1898.770753,13377536,439.5850551,0.231510336,193235.0206,0.003992677,1.911148444,1948.990865,7010795,6366741,3196,3196,640,476073,1529602.511,3.27213E+12,1.313839004,5.049347045,0.090728994,0.090728994,1,25111468519,1011.370694,-5.46E-05,1857,1877.137054,13377536,854.413706,0.455168526,730022.7809,0.311963249,1.132574723,2062.44183,6255973,7121563,4095,4095,0,1030124,4294294.004,2.8934E+12,-0.74810742,124.5239508,1.25024586,1.815237533
2022-06-01_12.08.00_2022-06-01_13.31.00,1,1656259,3.172224258,0.009527299,0,303.3997069,5459,640.7232855,2.111812474,410526.3286,1.664452599,0.77372874,708.9271548,984,4475,1696,1696,0,79,326.1097593,345609.6065,2.262233424,7.730891115,0.090728994,0.13600217,1,35211733857,29.09671427,4.02E-05,1901,1899.384603,18538496,312.1852096,0.164361241,97459.60509,-0.008474033,4.362985688,1924.869209,9582352,8956144,3905,3905,526,720603,2165649.819,6.09474E+12,1.287552481,5.277179955,0.090728994,0.090728994,1,34885049088,1023.049613,-5.74E-05,1857,1881.762635,18538496,894.5103199,0.47535768,800148.7124,0.332003031,1.029571036,2083.549694,8652119,9886377,4095,4095,0,1453380,5800926.586,5.78118E+12,-0.509249867,104.0381811,1.262118847,1.897340577
2022-05-31_12.37.00_2022-05-31_13.14.00,1,601254,2.745737583,0.016308377,2,222.7691738,2699,555.1429335,2.492009662,308183.6766,2.249493114,3.075886718,598.1720333,340,2359,1706,1706,0,45,182.9940007,99681.38527,2.050653822,6.626141753,0.125255702,0.170467354,1,19133993289,28.93154979,6.21E-05,1901,1899.323066,10074112,314.7701591,0.16572755,99080.25305,-0.007635884,4.472455535,1925.229431,5203050,4871062,4095,4095,112,390989,1173525.203,1.8564E+12,1.274408305,5.09727265,0.090728994,0.090728994,1,18973971682,1050.33059,-4.35E-05,1857,1883.438628,10074112,909.5480527,0.482918869,827277.6602,0.326464148,0.90596655,2091.558922,4696308,5377804,4095,4095,0,789397,3137743.355,1.94143E+12,-0.492154982,79.32293577,1.099843054,1.753660973
2022-03-22_10.25.00_2022-03-22_11.02.00,1,52607,3.707669507,0.000370508,10,19.48407407,2700,18.59512396,0.954375553,345.7786353,0.283983413,-1.656345951,26.93339521,1238,1462,62,62,0,111,395.8963,139556.0701,0.867443311,6.442198401,0.288307444,0.475842813,1,8709247709,5.819801063,-1.53E-06,1901,1899.313246,4585472,20.30211881,0.010689189,412.1760282,0.154331384,8.068068931,1899.42175,2364740,2220732,2177,2177,1619,212805,592134.9286,4.57074E+11,0.950289668,4.441357334,0.2734888,0.33994229,1,8521433231,139.1088542,6.54E-07,1858,1858.354654,4585472,180.4321497,0.09709242,32555.76066,0.07147167,14.81865773,1867.093404,2272081,2313391,4095,4095,0,425594,1191821.413,3.68562E+11,-0.18146779,46.57086559,0.322205986,0.798454541
2021-12-17_08.30.00_2021-12-17_11.16.00,1,4173140,10.15043356,0,92,420.721847,9919,680.8702816,1.618338307,463584.3403,1.295700624,-0.269310142,800.3694227,2229,7690,1841,1841,0,449,691.1026436,1393615.532,1.983038494,6.332726108,0.090728994,0.170467354,0,39881808.5,0.087617406,7.86E-09,1.901,1.899586021,20995000,0.377786666,0.19887842,0.142722765,-0.006985824,1.898277398,1.936788531,10738268,10256732,3.23,3.23,0.625,733898,3296339.119,1.32541E+13,0.941412467,4.320423308,0.090728994,0.200814335,1,39935382018,1.766088772,0,1902,1902.137748,20995000,2.405811279,0.001264793,5.78792791,9.085505523,56526.32599,1902.139269,9942736,11052264,4095,4095,0,674292,3885041.433,1.24183E+13,0.309944278,6.102263034,1.330784823,1.914014466
2022-06-22_10.30.00_2022-06-22_12.40.00,1,4009818,6.282401256,0.005797802,9,484.2775362,8280,837.4457163,1.729268144,701315.3278,1.207590373,-0.536089936,967.3882674,2001,6279,2112,2112,0,200,477.1255458,809507.168,2.306650009,7.82867005,0.125255702,0.170467354,1,33162819906,37.09740476,-2.81E-07,1862,1861.667413,17813504,400.8808684,0.21533431,160705.4706,0.009108551,2.697748731,1904.34005,8911652,8901852,3255,3255,528,719777,2261923.622,6.03585E+12,1.135616388,5.228921386,0.090728994,0.090728994,1,33607726042,563.1138306,-5.19E-05,1872,1886.643192,17813504,690.244706,0.365858637,476437.7541,0.452732,3.672578554,2008.945068,8135977,9677527,4095,4095,0,1461611,4783679.042,4.89221E+12,-0.196532641,67.9108899,1.306351786,1.991588569
2021-12-22_07.55.00_2021-12-22_09.40.00,1,5011742,28.27565982,0,219,773.4169753,6480,925.3514522,1.196445749,856275.3101,0.623744855,-1.535718284,1206.005443,2260,4220,2278,2278,0,353,487.6702516,638074.0709,1.862913842,5.859307343,0.183377586,0.314393167,1,208941590,65.96825865,-0.000312503,1865,1865.549911,112000,571.5659129,0.30637932,326687.5928,0.018803253,0.021902093,1951.144296,55821,56179,4001,4001,62,3587,7522.081131,116504613.3,2.45867968,9.553318499,0.090728994,0.13600217,1,210423355,432.2810382,-0.000142858,1871,1878.779955,112000,558.0050185,0.297003924,311369.6007,0.552632353,6.646489676,1959.893804,49180,62820,4095,4095,0,9366,29715.25296,182666422.3,-0.307621416,72.76934979,1.145871101,1.796842243
2022-07-05_08.08.00_2022-07-05_09.06.00,1,294715,5.417171717,0,9,74.40419086,3961,322.9044635,4.339869298,104267.2926,5.452260842,28.03658682,331.365774,359,3602,2049,2049,0,101,337.1894343,237554.6331,1.723555499,5.676759224,0.159720886,0.170467354,1,18846809495,16.19309425,1.28E-06,1862,1862.486075,10119168,102.0599885,0.054797719,10416.24125,0.03183858,64.97772651,1865.280307,5054358,5064810,3247,3247,532,561801,1540163.18,2.05658E+12,0.821549,6.52117538,0.090728994,0.13600217,1,19233125819,868.8597615,-2.17E-06,1872,1900.662764,10119168,946.7854785,0.498134386,896402.7423,0.306696131,0.69845736,2123.422163,4674621,5444547,4095,4095,0,726928,2598643.429,1.54532E+12,-0.074359234,59.63394524,0.882602614,1.486014382
2022-02-24_08.44.00_2022-02-24_11.36.00,1,6915983,28.28155994,0,192,665.8947622,10386,836.1357029,1.255657426,699122.9137,0.746703773,-1.344285436,1068.896042,3321,7065,2251,2251,0,456,906.5676456,1843891.1,1.613439114,5.068035734,0.170467354,0.226363458,1,29069842409,29.29767293,0,1866,1864.72136,15589376,264.5121831,0.141850782,69966.69498,0.028146968,7.627323615,1883.388554,7900963,7688413,4095,4095,0,519101,1612229.933,3.28528E+12,1.623894386,6.662389765,0.090728994,0.13600217,1,29655053906,662.3297454,-1.37E-05,1873,1902.260482,15589376,907.6629638,0.477149671,823852.0558,0.35404909,1.29865263,2107.711317,6666714,8922662,4095,4095,0,1145666,3695307.896,3.47689E+12,0.07797566,48.61922759,1.319629815,1.963339109
2022-06-23_07.45.00_2022-06-23_09.49.00,1,4787621,12.50750179,-0.000238152,1949,1139.909762,4200,965.9997995,0.847435325,933155.6126,-0.280523535,-1.918472689,1494.171971,2392,1808,2118,2118,6,198,283.390135,280751.269,2.044878652,6.214784604,0.125255702,0.170467354,1,29484442722,46.07213811,-9.47E-07,1862,1862.204184,15833088,462.9118009,0.248582731,214287.3354,0.010497296,1.35154092,1918.877734,7900773,7932315,3277,3277,511,638259,1788269.532,4.4119E+12,1.361822322,5.248409853,0.090728994,0.090728994,1,29892247431,608.3289642,-8.91E-06,1872,1887.96067,15833088,718.4469203,0.380541254,516165.9773,0.425635816,3.123051025,2020.039967,7310875,8522213,4095,4095,0,1288372,4258785.647,3.76965E+12,-0.210894219,71.78783466,1.30079179,1.970310786
2022-03-31_07.25.00_2022-03-31_08.32.00,1,628422,11.977433,2.473906911,1706,885.1014085,710,863.2097445,0.975266491,745131.063,-0.020085239,-2.002476343,1236.339584,359,351,1771,1771,2,25,47.21001404,6575.976496,2.084469177,6.860846447,0.125255702,0.181213822,1,15388123403,29.73435376,3.03E-06,1865,1864.44966,8253440,302.6286855,0.162315289,91584.12126,0.002027998,4.622112121,1888.850618,4135624,4117816,3207,3207,576,379776,941868.9821,1.20306E+12,1.321421721,5.239675159,0.090728994,0.090728994,1,15685488349,737.4036475,-3.65E-05,1873,1900.478873,8253440,896.2430083,0.471587988,803251.5299,0.346530029,1.269805213,2101.207147,3652292,4601148,4095,4095,0,560548,2077193.214,9.42138E+11,0.050822763,65.35284467,0.881773205,1.465002556
2022-03-23_08.15.00_2022-03-23_11.35.00,1,7133649,25.75975639,0,171,571.6064904,12480,767.9052789,1.343415955,589678.5173,0.933638234,-1.031554269,957.2943629,3532,8948,2062,2062,0,612,1207.11196,2836695.694,1.412886531,4.629497043,0.125255702,0.235154986,1,38886176352,47.58025246,3.83E-07,1863,1863.701492,20865024,421.3499102,0.226082295,177535.7469,0.017890962,1.573075506,1910.737815,10382346,10482678,3419,3419,398,893868,2328726.793,6.43837E+12,1.472788675,6.420167684,0.090728994,0.090728994,1,39481196529,535.8930523,1.25E-05,1873,1892.219081,20865024,740.4295841,0.39130225,548235.9691,0.465044647,3.391757627,2031.927415,9275178,11589846,4095,4095,0,1603646,5394016.853,6.7278E+12,0.00413907,58.36935089,1.220338701,1.842224846
